No of locations: 20
Threshold: 150
No of supply centers: 3
No of large vehicles at the supply centres: 1
No of small vehicles at supply centres: 2
X: 20
Capacity of Large vehicle: 100
loc 1: (7,65) resources: 60 large vehicles: 0 small vehicles: 1
damage(2,83): 1
damage(2,84): 1
damage(2,85): 0
damage(2,86): 1
damage(2,87): 0
damage(2,88): 1
damage(2,89): 2
damage(2,90): 1
damage(2,91): 1
damage(2,92): 0
damage(2,93): 1
damage(2,94): 1
damage(2,95): 0
damage(2,96): 1
damage(2,97): 0
damage(2,98): 2
damage(2,99): 1
damage(3,0): 2
damage(3,1): 1
damage(3,2): 2
damage(3,3): 0
damage(3,4): 0
damage(3,5): 0
damage(3,6): 2
damage(3,7): 0
damage(3,8): 0
damage(3,9): 0
damage(3,10): 2
damage(3,11): 0
damage(3,12): 1
damage(3,13): 0
damage(3,14): 1
damage(3,15): 1
damage(3,16): 0
damage(3,17): 0
damage(3,18): 2
damage(3,19): 2
damage(3,20): 0
damage(3,21): 0
damage(3,22): 1
damage(3,23): 2
damage(3,24): 2
damage(3,25): 0
damage(3,26): 2
damage(3,27): 1
damage(3,28): 1
damage(3,29): 0
damage(3,30): 0
damage(3,31): 2
damage(3,32): 2
damage(3,33): 2
damage(3,34): 2
damage(3,35): 2
damage(3,36): 2
damage(3,37): 2
damage(3,38): 2
damage(3,39): 0
damage(3,40): 2
damage(3,41): 0
damage(3,42): 1
damage(3,43): 1
damage(3,44): 0
damage(3,45): 1
damage(3,46): 0
damage(3,47): 1
damage(3,48): 2
damage(3,49): 2
damage(3,50): 0
damage(3,51): 1
damage(3,52): 1
damage(3,53): 1
damage(3,54): 0
damage(3,55): 0
damage(3,56): 2
damage(3,57): 2
damage(3,58): 2
damage(3,59): 1
damage(3,60): 0
damage(3,61): 2
damage(3,62): 0
damage(3,63): 2
damage(3,64): 1
damage(3,65): 0
damage(3,66): 2
damage(3,67): 2
damage(3,68): 2
damage(3,69): 1
damage(3,70): 0
damage(3,71): 1
damage(3,72): 1
damage(3,73): 0
damage(3,74): 0
damage(3,75): 2
damage(3,76): 1
damage(3,77): 0
damage(3,78): 0
damage(3,79): 0
damage(3,80): 1
damage(3,81): 1
damage(3,82): 1
damage(3,83): 2
damage(3,84): 1
damage(3,85): 2
damage(3,86): 0
damage(3,87): 0
damage(3,88): 0
damage(3,89): 1
damage(3,90): 1
damage(3,91): 0
damage(3,92): 1
damage(3,93): 2
damage(3,94): 0
damage(3,95): 1
damage(3,96): 2
damage(3,97): 2
damage(3,98): 1
damage(3,99): 1
damage(4,0): 1
damage(4,1): 1
damage(4,2): 1
damage(4,3): 1
damage(4,4): 1
damage(4,5): 1
damage(4,6): 0
damage(4,7): 0
damage(4,8): 0
damage(4,9): 2
damage(4,10): 2
damage(4,11): 1
damage(4,12): 0
damage(4,13): 0
damage(4,14): 1
damage(4,15): 1
damage(4,16): 0
damage(4,17): 1
damage(4,18): 0
damage(4,19): 1
damage(4,20): 0
damage(4,21): 1
damage(4,22): 1
damage(4,23): 2
damage(4,24): 2
damage(4,25): 1
damage(4,26): 0
damage(4,27): 1
damage(4,28): 0
damage(4,29): 2
damage(4,30): 1
damage(4,31): 0
damage(4,32): 0
damage(4,33): 2
damage(4,34): 1
damage(4,35): 0
damage(4,36): 1
damage(4,37): 1
damage(4,38): 1
damage(4,39): 1
damage(4,40): 1
damage(4,41): 0
damage(4,42): 2
damage(4,43): 2
damage(4,44): 2
damage(4,45): 1
damage(4,46): 1
damage(4,47): 2
damage(4,48): 1
damage(4,49): 1
damage(4,50): 0
damage(4,51): 1
damage(4,52): 1
damage(4,53): 2
damage(4,54): 1
damage(4,55): 0
damage(4,56): 1
damage(4,57): 2
damage(4,58): 2
damage(4,59): 2
damage(4,60): 1
damage(4,61): 1
damage(4,62): 2
damage(4,63): 0
damage(4,64): 0
damage(4,65): 0
damage(4,66): 1
damage(4,67): 0
damage(4,68): 0
damage(4,69): 2
damage(4,70): 1
damage(4,71): 1
damage(4,72): 0
damage(4,73): 2
damage(4,74): 0
damage(4,75): 2
damage(4,76): 0
damage(4,77): 0
damage(4,78): 2
damage(4,79): 1
damage(4,80): 1
damage(4,81): 0
damage(4,82): 1
damage(4,83): 0
damage(4,84): 2
damage(4,85): 2
damage(4,86): 1
damage(4,87): 0
damage(4,88): 2
damage(4,89): 1
damage(4,90): 1
damage(4,91): 1
damage(4,92): 0
damage(4,93): 0
damage(4,94): 1
damage(4,95): 1
damage(4,96): 1
damage(4,97): 2
damage(4,98): 2
damage(4,99): 1
damage(5,0): 0
damage(5,1): 0
damage(5,2): 2
damage(5,3): 0
damage(5,4): 2
damage(5,5): 1
damage(5,6): 0
damage(5,7): 1
damage(5,8): 1
damage(5,9): 2
damage(5,10): 0
damage(5,11): 0
damage(5,12): 0
damage(5,13): 2
damage(5,14): 1
damage(5,15): 0
damage(5,16): 2
damage(5,17): 0
damage(5,18): 2
damage(5,19): 2
damage(5,20): 2
damage(5,21): 0
damage(5,22): 1
damage(5,23): 0
damage(5,24): 0
damage(5,25): 0
damage(5,26): 2
damage(5,27): 2
damage(5,28): 0
damage(5,29): 1
damage(5,30): 0
damage(5,31): 0
damage(5,32): 1
damage(5,33): 1
damage(5,34): 1
damage(5,35): 2
damage(5,36): 0
damage(5,37): 1
damage(5,38): 1
damage(5,39): 1
damage(5,40): 1
damage(5,41): 1
damage(5,42): 2
damage(5,43): 2
damage(5,44): 1
damage(5,45): 1
damage(5,46): 0
damage(5,47): 1
damage(5,48): 2
damage(5,49): 2
damage(5,50): 1
damage(5,51): 1
damage(5,52): 2
damage(5,53): 2
damage(5,54): 2
damage(5,55): 0
damage(5,56): 0
damage(5,57): 1
damage(5,58): 0
damage(5,59): 2
damage(5,60): 2
damage(5,61): 1
damage(5,62): 2
damage(5,63): 2
damage(5,64): 0
damage(5,65): 2
damage(5,66): 1
damage(5,67): 0
damage(5,68): 0
damage(5,69): 0
damage(5,70): 2
damage(5,71): 0
damage(5,72): 1
damage(5,73): 0
damage(5,74): 2
damage(5,75): 0
damage(5,76): 1
damage(5,77): 0
damage(5,78): 2
damage(5,79): 1
damage(5,80): 2
damage(5,81): 1
damage(5,82): 1
damage(5,83): 2
damage(5,84): 2
damage(5,85): 0
damage(5,86): 0
damage(5,87): 0
damage(5,88): 2
damage(5,89): 1
damage(5,90): 2
damage(5,91): 1
damage(5,92): 0
damage(5,93): 2
damage(5,94): 1
damage(5,95): 1
damage(5,96): 2
damage(5,97): 2
damage(5,98): 2
damage(5,99): 2
damage(6,0): 2
damage(6,1): 2
damage(6,2): 0
damage(6,3): 2
damage(6,4): 0
damage(6,5): 1
damage(6,6): 0
damage(6,7): 1
damage(6,8): 1
damage(6,9): 1
damage(6,10): 1
damage(6,11): 2
damage(6,12): 2
damage(6,13): 0
damage(6,14): 1
damage(6,15): 2
damage(6,16): 0
damage(6,17): 2
damage(6,18): 0
damage(6,19): 0
damage(6,20): 1
damage(6,21): 2
damage(6,22): 0
damage(6,23): 2
damage(6,24): 2
damage(6,25): 1
damage(6,26): 0
damage(6,27): 1
damage(6,28): 1
damage(6,29): 0
damage(6,30): 2
damage(6,31): 1
damage(6,32): 0
damage(6,33): 2
damage(6,34): 1
damage(6,35): 0
damage(6,36): 0
damage(6,37): 2
damage(6,38): 0
damage(6,39): 2
damage(6,40): 1
damage(6,41): 1
damage(6,42): 1
damage(6,43): 0
damage(6,44): 1
damage(6,45): 0
damage(6,46): 1
damage(6,47): 2
damage(6,48): 0
damage(6,49): 1
damage(6,50): 0
damage(6,51): 1
damage(6,52): 0
damage(6,53): 0
damage(6,54): 1
damage(6,55): 1
damage(6,56): 1
damage(6,57): 2
damage(6,58): 2
damage(6,59): 0
damage(6,60): 0
damage(6,61): 1
damage(6,62): 0
damage(6,63): 0
damage(6,64): 2
damage(6,65): 2
damage(6,66): 2
damage(6,67): 2
damage(6,68): 2
damage(6,69): 2
damage(6,70): 2
damage(6,71): 0
damage(6,72): 1
damage(6,73): 1
damage(6,74): 2
damage(6,75): 0
damage(6,76): 2
damage(6,77): 0
damage(6,78): 2
damage(6,79): 0
damage(6,80): 1
damage(6,81): 0
damage(6,82): 2
damage(6,83): 2
damage(6,84): 1
damage(6,85): 2
damage(6,86): 0
damage(6,87): 0
damage(6,88): 1
damage(6,89): 0
damage(6,90): 1
damage(6,91): 2
damage(6,92): 2
damage(6,93): 2
damage(6,94): 0
damage(6,95): 1
damage(6,96): 2
damage(6,97): 2
damage(6,98): 1
damage(6,99): 1
damage(7,0): 2
damage(7,1): 1
damage(7,2): 0
damage(7,3): 0
damage(7,4): 1
damage(7,5): 2
damage(7,6): 0
damage(7,7): 0
damage(7,8): 2
damage(7,9): 0
damage(7,10): 1
damage(7,11): 1
damage(7,12): 1
damage(7,13): 1
damage(7,14): 0
damage(7,15): 2
damage(7,16): 0
damage(7,17): 1
damage(7,18): 0
damage(7,19): 0
damage(7,20): 2
damage(7,21): 0
damage(7,22): 2
damage(7,23): 1
damage(7,24): 0
damage(7,25): 0
damage(7,26): 0
damage(7,27): 2
damage(7,28): 2
damage(7,29): 2
damage(7,30): 2
damage(7,31): 2
damage(7,32): 1
damage(7,33): 2
damage(7,34): 2
damage(7,35): 2
damage(7,36): 1
damage(7,37): 0
damage(7,38): 0
damage(7,39): 1
damage(7,40): 1
damage(7,41): 1
damage(7,42): 2
damage(7,43): 2
damage(7,44): 1
damage(7,45): 2
damage(7,46): 2
damage(7,47): 2
damage(7,48): 1
damage(7,49): 1
damage(7,50): 2
damage(7,51): 0
damage(7,52): 1
damage(7,53): 0
damage(7,54): 2
damage(7,55): 1
damage(7,56): 0
damage(7,57): 0
damage(7,58): 2
damage(7,59): 1
damage(7,60): 2
damage(7,61): 1
damage(7,62): 0
damage(7,63): 0
damage(7,64): 1
damage(7,65): 0
damage(7,66): 0
damage(7,67): 0
damage(7,68): 0
damage(7,69): 1
damage(7,70): 1
damage(7,71): 2
damage(7,72): 0
damage(7,73): 1
damage(7,74): 2
damage(7,75): 2
damage(7,76): 1
damage(7,77): 2
damage(7,78): 2
damage(7,79): 0
damage(7,80): 1
damage(7,81): 0
damage(7,82): 0
damage(7,83): 2
damage(7,84): 0
damage(7,85): 0
damage(7,86): 1
damage(7,87): 0
damage(7,88): 1
damage(7,89): 0
damage(7,90): 2
damage(7,91): 0
damage(7,92): 2
damage(7,93): 0
damage(7,94): 2
damage(7,95): 0
damage(7,96): 1
damage(7,97): 0
damage(7,98): 1
damage(7,99): 2
damage(8,0): 1
damage(8,1): 2
damage(8,2): 2
damage(8,3): 2
damage(8,4): 0
damage(8,5): 2
damage(8,6): 2
damage(8,7): 0
damage(8,8): 2
damage(8,9): 2
damage(8,10): 0
damage(8,11): 0
damage(8,12): 2
damage(8,13): 1
damage(8,14): 2
damage(8,15): 0
damage(8,16): 0
damage(8,17): 2
damage(8,18): 1
damage(8,19): 1
damage(8,20): 0
damage(8,21): 1
damage(8,22): 0
damage(8,23): 0
damage(8,24): 2
damage(8,25): 0
damage(8,26): 1
damage(8,27): 0
damage(8,28): 1
damage(8,29): 1
damage(8,30): 0
damage(8,31): 2
damage(8,32): 0
damage(8,33): 0
damage(8,34): 0
damage(8,35): 2
damage(8,36): 0
damage(8,37): 0
damage(8,38): 2
damage(8,39): 2
damage(8,40): 0
damage(8,41): 0
damage(8,42): 0
damage(8,43): 0
damage(8,44): 1
damage(8,45): 0
damage(8,46): 0
damage(8,47): 2
damage(8,48): 2
damage(8,49): 0
damage(8,50): 1
damage(8,51): 1
damage(8,52): 1
damage(8,53): 2
damage(8,54): 2
damage(8,55): 1
damage(8,56): 2
damage(8,57): 0
damage(8,58): 2
damage(8,59): 0
damage(8,60): 2
damage(8,61): 2
damage(8,62): 0
damage(8,63): 0
damage(8,64): 0
damage(8,65): 1
damage(8,66): 0
damage(8,67): 0
damage(8,68): 2
damage(8,69): 0
damage(8,70): 0
damage(8,71): 2
damage(8,72): 1
damage(8,73): 0
damage(8,74): 0
damage(8,75): 0
damage(8,76): 1
damage(8,77): 0
damage(8,78): 0
damage(8,79): 1
damage(8,80): 0
damage(8,81): 2
damage(8,82): 2
damage(8,83): 2
damage(8,84): 1
damage(8,85): 1
damage(8,86): 0
damage(8,87): 0
damage(8,88): 0
damage(8,89): 2
damage(8,90): 0
damage(8,91): 2
damage(8,92): 0
damage(8,93): 1
damage(8,94): 0
damage(8,95): 0
damage(8,96): 0
damage(8,97): 1
damage(8,98): 1
damage(8,99): 2
damage(9,0): 2
damage(9,1): 1
damage(9,2): 1
damage(9,3): 0
damage(9,4): 0
damage(9,5): 1
damage(9,6): 1
damage(9,7): 2
damage(9,8): 0
damage(9,9): 1
damage(9,10): 0
damage(9,11): 1
damage(9,12): 0
damage(9,13): 1
damage(9,14): 2
damage(9,15): 1
damage(9,16): 0
damage(9,17): 2
damage(9,18): 2
damage(9,19): 0
damage(9,20): 0
damage(9,21): 0
damage(9,22): 1
damage(9,23): 0
damage(9,24): 1
damage(9,25): 2
damage(9,26): 1
damage(9,27): 1
damage(9,28): 2
damage(9,29): 0
damage(9,30): 0
damage(9,31): 1
damage(9,32): 1
damage(9,33): 0
damage(9,34): 2
damage(9,35): 2
damage(9,36): 2
damage(9,37): 0
damage(9,38): 1
damage(9,39): 0
damage(9,40): 1
damage(9,41): 2
damage(9,42): 0
damage(9,43): 2
damage(9,44): 1
damage(9,45): 2
damage(9,46): 1
damage(9,47): 1
damage(9,48): 2
damage(9,49): 0
damage(9,50): 0
damage(9,51): 2
damage(9,52): 0
damage(9,53): 2
damage(9,54): 0
damage(9,55): 1
damage(9,56): 1
damage(9,57): 2
damage(9,58): 1
damage(9,59): 1
damage(9,60): 2
damage(9,61): 2
damage(9,62): 0
damage(9,63): 2
damage(9,64): 2
damage(9,65): 2
damage(9,66): 1
damage(9,67): 0
damage(9,68): 2
damage(9,69): 0
damage(9,70): 0
damage(9,71): 1
damage(9,72): 0
damage(9,73): 0
damage(9,74): 1
damage(9,75): 2
damage(9,76): 0
damage(9,77): 2
damage(9,78): 0
damage(9,79): 0
damage(9,80): 2
damage(9,81): 1
damage(9,82): 2
damage(9,83): 2
damage(9,84): 0
damage(9,85): 1
damage(9,86): 1
damage(9,87): 0
damage(9,88): 0
damage(9,89): 2
damage(9,90): 1
damage(9,91): 0
damage(9,92): 2
damage(9,93): 1
damage(9,94): 2
damage(9,95): 2
damage(9,96): 1
damage(9,97): 1
damage(9,98): 2
damage(9,99): 1
damage(10,0): 2
damage(10,1): 1
damage(10,2): 2
damage(10,3): 0
damage(10,4): 2
damage(10,5): 0
damage(10,6): 1
damage(10,7): 0
damage(10,8): 0
damage(10,9): 0
damage(10,10): 0
damage(10,11): 2
damage(10,12): 1
damage(10,13): 0
damage(10,14): 2
damage(10,15): 0
damage(10,16): 1
damage(10,17): 1
damage(10,18): 1
damage(10,19): 0
damage(10,20): 0
damage(10,21): 2
damage(10,22): 0
damage(10,23): 2
damage(10,24): 2
damage(10,25): 0
damage(10,26): 0
damage(10,27): 0
damage(10,28): 2
damage(10,29): 2
damage(10,30): 0
damage(10,31): 2
damage(10,32): 1
damage(10,33): 2
damage(10,34): 1
damage(10,35): 1
damage(10,36): 1
damage(10,37): 1
damage(10,38): 1
damage(10,39): 2
damage(10,40): 1
damage(10,41): 2
damage(10,42): 2
damage(10,43): 0
damage(10,44): 0
damage(10,45): 1
damage(10,46): 0
damage(10,47): 2
damage(10,48): 2
damage(10,49): 1
damage(10,50): 0
damage(10,51): 1
damage(10,52): 2
damage(10,53): 1
damage(10,54): 1
damage(10,55): 2
damage(10,56): 2
damage(10,57): 1
damage(10,58): 0
damage(10,59): 1
damage(10,60): 1
damage(10,61): 0
damage(10,62): 0
damage(10,63): 2
damage(10,64): 1
damage(10,65): 0
damage(10,66): 1
damage(10,67): 0
damage(10,68): 2
damage(10,69): 0
damage(10,70): 2
damage(10,71): 1
damage(10,72): 2
damage(10,73): 1
damage(10,74): 1
damage(10,75): 0
damage(10,76): 1
damage(10,77): 0
damage(10,78): 0
damage(10,79): 0
damage(10,80): 2
damage(10,81): 0
damage(10,82): 2
damage(10,83): 2
damage(10,84): 1
damage(10,85): 1
damage(10,86): 1
damage(10,87): 0
damage(10,88): 2
damage(10,89): 0
damage(10,90): 2
damage(10,91): 1
damage(10,92): 1
damage(10,93): 0
damage(10,94): 2
damage(10,95): 2
damage(10,96): 1
damage(10,97): 0
damage(10,98): 0
damage(10,99): 0
damage(11,0): 1
damage(11,1): 0
damage(11,2): 1
damage(11,3): 1
damage(11,4): 2
damage(11,5): 0
damage(11,6): 2
damage(11,7): 0
damage(11,8): 1
damage(11,9): 0
damage(11,10): 2
damage(11,11): 1
damage(11,12): 0
damage(11,13): 1
damage(11,14): 1
damage(11,15): 2
damage(11,16): 0
damage(11,17): 1
damage(11,18): 0
damage(11,19): 0
damage(11,20): 1
damage(11,21): 0
damage(11,22): 1
damage(11,23): 2
damage(11,24): 1
damage(11,25): 0
damage(11,26): 0
damage(11,27): 2
damage(11,28): 1
damage(11,29): 0
damage(11,30): 0
damage(11,31): 0
damage(11,32): 0
damage(11,33): 2
damage(11,34): 2
damage(11,35): 1
damage(11,36): 0
damage(11,37): 2
damage(11,38): 2
damage(11,39): 2
damage(11,40): 2
damage(11,41): 1
damage(11,42): 1
damage(11,43): 1
damage(11,44): 1
damage(11,45): 2
damage(11,46): 1
damage(11,47): 1
damage(11,48): 0
damage(11,49): 0
damage(11,50): 2
damage(11,51): 2
damage(11,52): 0
damage(11,53): 1
damage(11,54): 0
damage(11,55): 2
damage(11,56): 2
damage(11,57): 0
damage(11,58): 2
damage(11,59): 1
damage(11,60): 0
damage(11,61): 2
damage(11,62): 1
damage(11,63): 2
damage(11,64): 2
damage(11,65): 2
damage(11,66): 0
damage(11,67): 2
damage(11,68): 1
damage(11,69): 2
damage(11,70): 2
damage(11,71): 1
damage(11,72): 2
damage(11,73): 1
damage(11,74): 0
damage(11,75): 1
damage(11,76): 1
damage(11,77): 0
damage(11,78): 2
damage(11,79): 2
damage(11,80): 0
damage(11,81): 2
damage(11,82): 0
damage(11,83): 1
damage(11,84): 1
damage(11,85): 0
damage(11,86): 0
damage(11,87): 0
damage(11,88): 0
damage(11,89): 2
damage(11,90): 2
damage(11,91): 1
damage(11,92): 2
damage(11,93): 1
damage(11,94): 0
damage(11,95): 1
damage(11,96): 0
damage(11,97): 1
damage(11,98): 1
damage(11,99): 2
damage(12,0): 1
damage(12,1): 2
damage(12,2): 2
damage(12,3): 1
damage(12,4): 0
damage(12,5): 0
damage(12,6): 2
damage(12,7): 2
damage(12,8): 1
damage(12,9): 2
damage(12,10): 0
damage(12,11): 1
damage(12,12): 1
damage(12,13): 0
damage(12,14): 2
damage(12,15): 0
damage(12,16): 0
damage(12,17): 0
damage(12,18): 1
damage(12,19): 1
damage(12,20): 2
damage(12,21): 1
damage(12,22): 2
damage(12,23): 1
damage(12,24): 0
damage(12,25): 1
damage(12,26): 0
damage(12,27): 1
damage(12,28): 2
damage(12,29): 0
damage(12,30): 1
damage(12,31): 0
damage(12,32): 2
damage(12,33): 1
damage(12,34): 2
damage(12,35): 0
damage(12,36): 2
damage(12,37): 1
damage(12,38): 0
damage(12,39): 0
damage(12,40): 1
damage(12,41): 0
damage(12,42): 0
damage(12,43): 0
damage(12,44): 1
damage(12,45): 2
damage(12,46): 1
damage(12,47): 1
damage(12,48): 0
damage(12,49): 0
damage(12,50): 0
damage(12,51): 0
damage(12,52): 1
damage(12,53): 2
damage(12,54): 0
damage(12,55): 1
damage(12,56): 0
damage(12,57): 0
damage(12,58): 0
damage(12,59): 0
damage(12,60): 1
damage(12,61): 2
damage(12,62): 1
damage(12,63): 1
damage(12,64): 1
damage(12,65): 1
damage(12,66): 2
damage(12,67): 0
damage(12,68): 0
damage(12,69): 0
damage(12,70): 2
damage(12,71): 1
damage(12,72): 1
damage(12,73): 2
damage(12,74): 2
damage(12,75): 2
damage(12,76): 2
damage(12,77): 1
damage(12,78): 1
damage(12,79): 0
damage(12,80): 1
damage(12,81): 1
damage(12,82): 1
damage(12,83): 0
damage(12,84): 0
damage(12,85): 1
damage(12,86): 2
damage(12,87): 2
damage(12,88): 2
damage(12,89): 1
damage(12,90): 0
damage(12,91): 1
damage(12,92): 1
damage(12,93): 2
damage(12,94): 2
damage(12,95): 2
damage(12,96): 1
damage(12,97): 2
damage(12,98): 0
damage(12,99): 2
damage(13,0): 2
damage(13,1): 2
damage(13,2): 1
damage(13,3): 0
damage(13,4): 2
damage(13,5): 1
damage(13,6): 0
